title,company,location,experience,min_experience,max_experience,salary,min_salary,max_salary,description,skills,posted_duration,job_url,search_keyword
Data Analyst,EY,Bengaluru,2-6 Yrs,2.0,6.0,Not Specified,,,"Proactively connect metric movements to business realities (e.g., linking a drop in Acc...","['Data Analyst', 'SQL', 'Power BI', 'Data Analytics', 'Data Structuring', 'Tableau', 'Analysis']",1 day ago,https://www.naukri.com/job-listings-data-analyst-ey-bengaluru-2-to-6-years-140726016894,data analyst
Data Analyst,Wonderla Holidays,Bengaluru,3-5 Yrs,3.0,5.0,"50,000-80,000 PA",50000.0,80000.0,Preferred candidate profile,"['D2C', 'Google Data Studio', 'R', 'Google Analytics', 'Power BI', 'Business Metrics', 'Campaign Analytics', 'Tableau']",1 week ago,https://www.naukri.com/job-listings-data-analyst-wonderla-holidays-bengaluru-3-to-5-years-230326013931,data analyst
Climate Data Analyst,MSCI Services,Pune,0-4 Yrs,0.0,4.0,Not Specified,,,The Climate Data and Content team is responsible for research and assessment of carbon...,"['Data Operations', 'Data Analytics', 'Workflow', 'Data Research', 'Pivot Table', 'Data Integrity', 'Research']",5 days ago,https://www.naukri.com/job-listings-climate-data-analyst-msci-services-pvt-ltd-pune-0-to-4-years-090726505446,data analyst
Data Analyst,Snapdeal,Gurugram,1-6 Yrs,1.0,6.0,Not Specified,,,"Providing technical expertise in data storage structures, data mining, and data cleansi...","['Master Data', 'Python', 'Metadata', 'Data Analytics', 'Data Management', 'Configuration', 'Data Mining']",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695,data analyst
Data Analyst (English Required),Peroptyx,Remote,0-5 Yrs,0.0,5.0,Not Specified,,,"For thousands of years, maps have provided humans with the knowledge they need to make ...","['Data Analytics', 'English', 'Data Mapping', 'Analysis', 'Analytics', 'Mapping', 'Data']",4 days ago,https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-100726028508,data analyst
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,0.0,2.0,2.75-5 Lacs PA,275000.0,500000.0,We are looking for a motivated and detail-oriented Data Analyst (Fresher to 2yr) to joi...,"['Google Sheets', 'Power BI', 'MS Office', 'Data Analytics', 'Python', 'Large Databases', 'Google Data Studio', 'Data Vis']",1 day ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-140726038321,data analyst
Data Analyst,KPMG India,"Hybrid - Gurugram(DLF CITY), Bengaluru(Bellandur)",0-4 Yrs,0.0,4.0,4-9 Lacs PA,400000.0,900000.0,Responsibilities:Collaborate with cross-functional teams on project deliverables.Analyz...,"['Power BI', 'Data Analytics', 'SQL', 'Python', 'Data Visualization', 'Analytics']",4 days ago,https://www.naukri.com/job-listings-data-analyst-kpmg-india-gurugram-bengaluru-0-to-4-years-110726010597,data analyst
Data Analyst,Acciojob,"Hyderabad, Pune, Delhi / NCR",0-2 Yrs,0.0,2.0,4-9 Lacs PA,400000.0,900000.0,"Pass this single test to earn your 6-month Job Pass, allowing you to skip repetitive On...","['Excel', 'Power BI', 'SQL', 'Data Visualization', 'Data Analytics', 'Python', 'Analytics']",Just now,https://www.naukri.com/job-listings-data-analyst-acciojob-hyderabad-pune-delhi-ncr-0-to-2-years-150726014835,data analyst
Data Analyst,Moserp Technologies,Bengaluru,5-8 Yrs,5.0,8.0,2-6 Lacs PA,200000.0,600000.0,"Roles and ResponsibilitiesCollect data from various sources, clean it, and perform expl...","['Data Analytics', 'SQL', 'Analysis', 'Analytics', 'Data']",1 day ago,https://www.naukri.com/job-listings-data-analyst-moserp-technologies-bengaluru-5-to-8-years-140726025974,data analyst
Online Data Analyst Odia (IN),TELUS Digital,Remote,0-5 Yrs,0.0,5.0,Not Specified,,,This freelance opportunity allows you to work at your own pace and from home. . A day i...,"['Oriya', 'Oriya Speaker', 'Odiya', 'Language Editing', 'Power BI', 'Artificial Intelligence', 'Content Writing', 'Content']",1 week ago,https://www.naukri.com/job-listings-online-data-analyst-odia-in-telus-digital-india-0-to-5-years-220426038468,data analyst
Data Analyst,Pinkerton,Gurugram,2-5 Yrs,2.0,5.0,Not Specified,,,"Bachelor s degree in Data Science, Statistics, Computer Science, or a related fieldWork...","['Google Data Studio', 'Data Integrity', 'Insights', 'Programming', 'Data Collection', 'Tableau', 'Statistics', 'Analytics']",Few hours ago,https://www.naukri.com/job-listings-data-analyst-pinkerton-gurugram-2-to-5-years-120626006701,data analyst
Data Analyst,eClerx,Bengaluru,2-5 Yrs,2.0,5.0,Not Specified,,,". Bachelors degree in Data Science, Computer Science, Finance, Business Analytics, or a...","['Automation', 'Power BI', 'Data Analytics', 'SQL', 'Python', 'Tableau', 'Analytics']",4 days ago,https://www.naukri.com/job-listings-data-analyst-eclerx-bengaluru-2-to-5-years-030726018761,data analyst
ESG Data Analyst,SunTec India,New Delhi(Pitampura),0-2 Yrs,0.0,2.0,"50,000-2 Lacs PA",50000.0,200000.0,Skills & Qualifications Required: . Educational Background: Graduate in Commerce or Sci...,"['Backend Operations', 'Computer Operator', 'Back Office', 'Back Office Support', 'Data Entry Operation', 'Researc', 'Data Analytics', 'Office']",1 day ago,https://www.naukri.com/job-listings-esg-data-analyst-suntec-india-new-delhi-0-to-2-years-040726007994,data analyst
Data Analyst (3 To 8 Years),Erudio Technologies,"Hyderabad, Chennai, Bengaluru",3-8 Yrs,3.0,8.0,8-18 Lacs PA,800000.0,1800000.0,"Required Skills . SQLPython (Pandas, NumPy) Preferred","['Data Cleansing', 'Statistics', 'SQL', 'Power BI', 'Data Analytics', 'Data Visualization', 'Sql Server']",1 day ago,https://www.naukri.com/job-listings-data-analyst-3-to-8-years-erudio-technologies-hyderabad-chennai-bengaluru-3-to-8-years-130726014660,data analyst
Data Analyst,Pico Xpress,Bengaluru,3-8 Yrs,3.0,8.0,Not Specified,,,Experience with BigQuery or Azure data solutions is requiredThe ideal candidate will ha...,"['Data Analytics', 'Python', 'Data Pipelines', 'Microsoft Azure', 'Logistics', 'Sales Analytics', 'Business Intelligence']",2 days ago,https://www.naukri.com/job-listings-data-analyst-pico-xpress-bengaluru-3-to-8-years-130726901794,data analyst
